13. 5. 27 오후 8:41
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	
Total:           	   27670	643733	                    3723937	                      4514362	
Remaining:       	   27670	643733	                    3723937	                      4514362	
Unique:          	   24217	622580	                    3573571	                      4341464	
Unique Remaining:	   24217	622580	                    3573571	                      4341464	


Individual File Statistics:

File Name   	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
pep-0001.txt	           128	               128	            128	                      128	       4174	           4174	        4174	                  4174	                            22570	                                22570	                             22570	                                       22570	                              26654	                                  26654	                               26654	                                         26654	
pep-0002.txt	            41	                41	             40	                       40	       1258	           1258	        1249	                  1249	                             6778	                                 6778	                              6735	                                        6735	                               8343	                                   8343	                                8292	                                          8292	
pep-0003.txt	            16	                16	             14	                       14	        350	            350	         348	                   348	                             1698	                                 1698	                              1676	                                        1676	                               2142	                                   2142	                                2120	                                          2120	
pep-0004.txt	            50	                50	             49	                       49	       1339	           1339	        1338	                  1338	                             7517	                                 7517	                              7505	                                        7505	                              10230	                                  10230	                               10218	                                         10218	
pep-0005.txt	            16	                16	             16	                       16	        426	            426	         426	                   426	                             2460	                                 2460	                              2460	                                        2460	                               3023	                                   3023	                                3023	                                          3023	
pep-0006.txt	            56	                56	             51	                       51	       1321	           1321	        1302	                  1302	                             6596	                                 6596	                              6466	                                        6466	                               8141	                                   8141	                                8000	                                          8000	
pep-0007.txt	            57	                57	             54	                       54	        922	            922	         898	                   898	                             5579	                                 5579	                              5398	                                        5398	                               6758	                                   6758	                                6542	                                          6542	
pep-0008.txt	           266	               266	            246	                      246	       4850	           4850	        4754	                  4754	                            27941	                                27941	                             27369	                                       27369	                              33657	                                  33657	                               32988	                                         32988	
pep-0009.txt	            52	                52	             47	                       47	       1379	           1379	        1366	                  1366	                             6903	                                 6903	                              6823	                                        6823	                               8688	                                   8688	                                8600	                                          8600	
pep-0010.txt	            19	                19	             13	                       13	        292	            292	         270	                   270	                             1592	                                 1592	                              1438	                                        1438	                               1896	                                   1896	                                1730	                                          1730	
pep-0011.txt	            51	                51	             49	                       49	       1068	           1068	        1045	                  1045	                             6123	                                 6123	                              5964	                                        5964	                               7655	                                   7655	                                7482	                                          7482	
pep-0012.txt	           174	               174	            161	                      161	       3265	           3265	        3229	                  3229	                            17879	                                17879	                             17602	                                       17602	                              21027	                                  21027	                               20713	                                         20713	
pep-0020.txt	            10	                10	              7	                        7	        222	            222	         211	                   211	                             1241	                                 1241	                              1181	                                        1181	                               1495	                                   1495	                                1427	                                          1427	
pep-0042.txt	           106	               106	            104	                      104	       1602	           1602	        1594	                  1594	                             8707	                                 8707	                              8635	                                        8635	                              10647	                                  10647	                               10572	                                         10572	
pep-0100.txt	           274	               274	            264	                      264	       5462	           5462	        5403	                  5403	                            31189	                                31189	                             30831	                                       30831	                              40564	                                  40564	                               40130	                                         40130	
pep-0101.txt	           175	               175	            170	                      170	       3742	           3742	        3716	                  3716	                            19256	                                19256	                             19101	                                       19101	                              24449	                                  24449	                               24275	                                         24275	
pep-0102.txt	           116	               116	            101	                      101	       3187	           3187	        2983	                  2983	                            15834	                                15834	                             14773	                                       14773	                              20165	                                  20165	                               18845	                                         18845	
pep-0160.txt	            19	                19	             15	                       15	        328	            328	         310	                   310	                             1778	                                 1778	                              1654	                                        1654	                               2160	                                   2160	                                2025	                                          2025	
